x,y,token
-36.48294,42.976437,believed
18.160847,29.583405,throne
-20.235155,-52.61949,sitting
-41.223354,-26.118912,smile
54.92339,7.4757543,smote
-47.11717,-2.6073608,entered
33.17103,-16.143972,bow
-41.26236,22.446377,nature
48.22165,10.384508,departed
28.019442,2.1145658,beast
-47.45788,-11.205646,talking
-26.55079,41.136703,speaking
28.905035,5.6183195,lifted
41.17698,4.465226,inheritance
17.729708,-42.424458,sky
-62.00309,14.741431,Fairfax
-45.922653,-8.342096,minutes
43.899826,-8.834999,sacrifice
-62.030712,13.231327,Churchill
27.01793,30.490305,command
15.471314,39.229805,Though
58.749947,4.8758597,dwelt
-17.368074,-51.03786,caught
-21.98401,-12.552015,whales
17.157259,-41.948093,bright
-6.1025596,-59.091236,hat
20.21853,24.640253,understanding
30.376877,21.436699,wrath
48.4337,-4.222934,temple
13.206878,-45.25553,arms
48.40175,2.6941655,plain
33.682106,13.8453245,stranger
51.80596,25.0002,angel
-51.459133,4.0861454,met
48.702316,-15.751619,horses
-32.973694,39.267097,perfectly
50.66927,-3.2259445,hill
24.794046,15.641119,tongue
17.656363,30.922106,Spirit
-32.87638,-16.163996,story
19.497574,24.36091,grace
45.991993,39.94371,43
48.114727,-3.8332775,built
-40.59977,38.098362,loved
-0.92341965,29.821232,watch
-3.682189,-8.255102,human
23.442726,28.822813,trouble
46.059925,3.2570097,thence
11.023443,54.1167,Caesar
-37.61026,-30.646313,turning
25.524464,25.992613,trust
35.02691,-16.180387,spread
-46.08862,-7.3020067,afterwards
24.87325,8.791734,rich
15.712595,31.08984,Man
24.34709,15.188676,lips
-27.86811,38.36022,thinking
-61.60755,12.176407,Jennings
-44.638393,25.171057,happiness
-3.2392273,40.795727,desire
68.89534,19.61917,begat
31.827581,32.38831,yourselves
30.569681,25.41664,blessed
19.62459,20.315489,greater
19.633873,-16.117138,song
-59.16301,15.356838,Lucy
54.37498,-17.870264,fifty
-2.6668336,-53.869236,across
-25.317125,-2.6420507,fact
25.425972,-27.130257,o
22.056725,26.342632,enter
-16.725481,29.422571,show
-18.521055,-51.054035,struck
-24.661652,29.406105,everything
44.23235,9.985382,drew
42.65219,15.438504,shut
17.193033,3.6873538,ear
-45.399197,-3.8187902,talked
44.57966,-8.950491,offered
44.927334,39.792274,48
-45.543957,34.995945,obliged
23.89361,-4.5527835,service
-12.092826,-40.213146,seat
-40.92562,18.140404,particular
59.13782,3.1091537,inhabitants
54.16343,-17.546,forty
28.994059,-33.988464,grass
16.78816,47.25844,Shall
-3.4229093,-8.649043,form
27.319717,-32.22147,cloud
54.69045,-1.8406106,east
26.53034,-32.26569,stars
-58.043007,13.773687,Wentworth
-7.9846177,-47.774662,heavy
52.728508,25.508074,Joshua
-19.151588,-41.440613,walking
-29.730486,29.848293,appear
16.769783,47.4672,Will
50.690212,-3.1359327,mountain
